track_name,track_artist,track_album_name,track_album_release_date,playlist_genre
People Suck,Confetti,People Suck,2018-02-21,pop
When I Grow Up,Confetti,When I Grow Up,2018-04-19,pop
Ghost,Confetti,Ghost,2019-10-18,pop
You?,Two Feet,You?,2019-10-11,pop
Sex (Let's Talk About Sex),Bleeke,Blinded by Fame,2017-07-24,pop
In Your Head,Mike Vallas,In Your Head,2019-09-13,pop
I'll Be There For You,Silent Child,I'll Be There For You,2019-10-11,pop
Cradles,Besomorph,Cradles,2019-10-25,pop
make daddy proud,blackbear,digital druglord,2017-04-21,pop
Mine All Day,pewdiepie,Mine All Day,2019-10-23,pop
"Night Riders (feat. Travi$ Scott, 2 Chainz,52,2U0b5MfkMUgzdvRUI69mya,Electropop
do re mi,blackbear,digital druglord,2017-04-21,pop
hot girl bummer,blackbear,hot girl bummer,2019-08-23,pop
Dear God,Confetti,Dear God,2018-09-28,pop
i miss the old u,blackbear,digital druglord,2017-04-21,pop
chateau,blackbear,digital druglord,2017-04-21,pop
Bitch Lasagna,pewdiepie,Bitch Lasagna,2018-11-06,pop
Tongue Tied (with YUNGBLUD & blackbear),Marshmello,Tongue Tied (with YUNGBLUD & blackbear),2019-11-13,pop
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,pop
Candy,Doja Cat,Amala,2018-03-30,pop
Walls Could Talk,Halsey,hopeless fountain kingdom (Deluxe),2017-06-02,pop
Ocean Eyes - Blackbear Remix,Billie Eilish,Ocean Eyes (The Remixes),2017-01-13,pop
Run Wild,Thutmose,Run Wild - EP,2018-08-08,pop
Revolution - Remix,Sean&Bobo,Revolution (Remix),2018-02-17,pop
GIANTS,True Damage,GIANTS,2019-11-10,pop
Devil Eyes,Hippie Sabotage,Providence,2016-02-05,pop
Middle Finger,Bohnes,Middle Finger - Single,2015-12-14,pop
Blood // Water,grandson,Blood // Water,2018-05-04,pop
Stronger,Prismo,Stronger,2017-12-09,pop
Morph,Twenty One Pilots,Trench,2018-10-05,pop
GRRRLS,AViVA,GRRRLS,2017-10-13,pop
Crocodile Tears,Unlike Pluto,Crocodile Tears,2019-09-18,pop
On My Mind,Nexy,On My Mind,2019-11-20,pop
goodbye,updog,goodbye,2019-08-02,pop
tired of my life,updog,tired of my life,2019-09-18,pop
Ghosts,Jacob Tillberg,Ghosts,2016-02-05,pop
Bury Me Low,8 Graves,Black,2019-02-22,pop
Riptide,Unlike Pluto,Pluto Tapes: Volume 2,2019-04-26,pop
Hot,Confetti,Hot,2019-11-22,pop
Deadroses,blackbear,Deadroses,2015-02-14,pop
Thief,Ansel Elgort,Thief,2017-01-27,pop
Pull Up,MEMBA,Pull Up,2017-04-10,pop
Wing$,Macklemore & Ryan Lewis,The Heist,2012-10-10,pop
parents,YUNGBLUD,the underrated youth,2019-10-18,pop
Supposed to Be,Sangarang,Supposed to Be,2019-10-25,pop
Chanel,Frank Ocean,Chanel,2017-03-10,pop
BOOM,X Ambassadors,ORION,2019-06-14,pop
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,2017-08-25,pop
Silly of Me,8 Graves,Silly of Me,2017-04-12,pop
The Other Side Of Paradise,Glass Animals,How To Be A Human Being,2016-08-26,pop
Little Poor Me,Layto,Little Poor Me,2018-04-13,pop
yes & no,XYLØ,yes & no,2019-05-31,pop
Birthday Suit,Cosmo Sheldrake,The Much Much How How and I,2018-04-06,pop
ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,pop
Rock Bottom,grandson,Rock Bottom,2019-08-16,pop
Lottery (Renegade),K CAMP,Wayy 2 Kritical,2019-06-21,pop
Movements,Pham,Movements - Single,2015-03-18,pop
FML,Arizona Zervas,Living Facts,2018-06-03,pop
SLOW DANCING IN THE DARK - Loud Luxury Remix,Joji,SLOW DANCING IN THE DARK (Loud Luxury Remix),2018-11-09,pop
like that,Bea Miller,aurora,2018-02-23,pop
Everyday,A$AP Rocky,AT.LONG.LAST.A$AP,2015-05-26,pop
I,Lil Skies,Shelby,2019-03-01,pop
so sad,Mike Vallas,so sad,2019-11-01,pop
Clockwise,Alexander Lewis,OMNI.,2018-06-01,pop
The Wall,Alok,The Wall,2019-06-28,pop
i wanna be your girlfriend,girl in red,i wanna be your girlfriend,2018-03-02,pop
Are We Cool?,Mike Vallas,Are We Cool?,2019-10-15,pop
Layaway,Alexander Lewis,Layaway,2019-11-22,pop
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),2018-06-15,pop
Falling,Trevor Daniel,Falling,2018-10-05,pop
World In My Eyes - 2006 Remastered Version,Depeche Mode,Violator (2006 Remastered Edition),1990-03-19,pop
Hold On,French 79,Joshua,2019-11-08,pop
Dreamer,Four Tet,Dreamer,2019-07-17,pop
Delorean Dynamite,Todd Terje,It's Album Time,2014-04-07,pop
Office Politics,The Divine Comedy,Office Politics,2019-06-07,pop
Moving in Stereo,The Cars,The Cars,1978-06-06,pop
5 8 6 - Live,New Order,NOMC15 (Live),2017-12-01,pop
The Long Run,Llewellyn,The Other Side Of You,2017-09-08,pop
"Rebel, Rebel",3z2v7xL75pLeil4TTqxq0I,Wasp,7p30DzTAgW6OhspSXHTI88
BB's Theme,Ludvig Forssell,BB's Theme,2019-10-30,pop
Runnin' Down a Dream,Isobel Campbell,Runnin' Down a Dream / Ant Life,2019-10-18,pop
Swing Tree,Discovery,LP,2009-07-06,pop
Million Dollar Doll,Britta Phillips,Luck or Magic,2016-04-29,pop
These Days (Don't Make Me Wait),Llewellyn,These Days,2019-07-05,pop
Electric Blue,Satin Jackets,Electric Blue,2019-10-11,pop
La forêt,Lescop,Lescop,2013-01-14,pop
Casina,Run River North,"Monsters Calling Home, Vol. 1",7p30DzTAgW6OhspSXHTI88
Don't Stop The Rock,Freestyle,Don't Stop The Rock,2007-08-14,pop
Lake Zurich,Gorillaz,Lake Zurich,2018-05-31,pop
Quiet Life,Japan,In Vogue,1996-09-27,pop
Designs for You,Phantoms,Disconnect,2019-07-19,pop
Night Sweats,Lloyd Cole,Guesswork,2019-07-26,pop
America Online,The Midnight,America Online,2019-05-03,pop
"Denise, Don’t Wanna See You Cry",6E06hCaPnbNSR2KhVTa7CJ,Pennied Days,7p30DzTAgW6OhspSXHTI88
A Dream Away - Remastered,The Cars,Shake It Up (Expanded),1981,pop
I Need a Connection,Jane Weaver,The Amber Light,2015-03-30,pop
This Island Earth,Bryan Ferry,The Bride Stripped Bare (Remastered),1978,pop
Cello Song Feat. Jose Gonzales,The Books,Music For A French Elevator And Other Oddities,2013-10-15,pop
Rest,Charlotte Gainsbourg,Rest,2017-09-08,pop
Are ‘Friends’ Electric?,Gary Numan,Replicas Redux,2008-03-04,pop
Chemistry - Llewellyn's Retouch,Jennifer Touch,Chemistry EP,2019-03-01,pop
Amanda Lear,Baustelle,L'amore e la violenza,2017-01-13,pop
The Drone Racing League,Gunship,Dark All Day,2018-10-05,pop
Drives,Sid Luscious and The Pants,Pantemonium!,2019-02-22,pop
Metropolis - 2009 Remastered Version,Kraftwerk,The Man Machine (2009 Remastered Version),1978,pop
Get The Balance Right! - Combination Mix,Depeche Mode,Construction Time Again (2007 Remastered Edition),1983-09-14,pop
Alles,COMPUTER DATA,Alles,2019-06-07,pop
Wave,The Midnight,Kids,2018-09-21,pop
Let Me Go,Heaven 17,The Luxury Gap (Deluxe Version),1982,pop
Recto Verso,Paradis,Recto Verso,2016-09-23,pop
Telegraph,Orchestral Manoeuvres In The Dark,Dazzle Ships,1983-03-04,pop
Blue Girl,Chromatics,Blue Girl,2018-06-12,pop
In The Face Of Evil,Magic Sword,Volume 1,2015-01-09,pop
Journal of Ardency,Class Actress,Journal of Ardency,2010-02-09,pop
30'000 Days,Yello,Toy,2016-09-30,pop
Perfect Machine,Herbie Hancock,Perfect Machine (Expanded Edition),1988-05-17,pop
Motorcycle Cop,Power Glove,EP II,2015-04-29,pop
West End Girls - 2001 Remaster,Pet Shop Boys,Please: Further Listening 1984-1986,1986-03-24,pop
Fleur de Lys,Phoenix,Ti Amo,2017-06-09,pop
Venq Tolep - Hit Club Version,Robag Wruhme,Venq Tolep EP,2019-07-05,pop
Implant,Makeup And Vanity Set,Chrome,2017-02-06,pop
Telecommunication,A Flock Of Seagulls,Playlist: The Very Best of A Flock of Seagulls,2008-08-19,pop
Bombs Away,Charlotte Gainsbourg,Take 2,2018-12-14,pop
Black Blood Red Kiss,Gunship,Dark All Day,2018-10-05,pop
Children of the New Dawn,Jóhann Jóhannsson,Children of the New Dawn (Single from the Mandy Original Motion Picture Soundtrack),2018-07-13,pop
Midnight Drivn,Luscious-235,End.Game.,2019-01-01,pop
Milk Run,Mitch Murder,Current Events,2011-10-28,pop
Salton Sea,Josh Rouse,Love in the Modern Age,2018-04-13,pop
4am (The Fauns Remix),Power Glove,EP II,2015-04-29,pop
Tilted,Christine and the Queens,Christine and the Queens,2015-06-05,pop
Thrasher,Gunship,Dark All Day,2018-10-05,pop
Souvenir - Remastered 2003,Orchestral Manoeuvres In The Dark,Architecture And Morality,1981-11-08,pop
Pleasure,Baxter Dury,It's a Pleasure,2014-10-21,pop
Le perv,Carpenter Brut,TRILOGY,2017-06-28,pop
Los Ageless,St. Vincent,MASSEDUCTION,2017-10-13,pop
Corrupted by Design,Perturbator,New Model,2017-09-05,pop
Real Thing,Stars,Real Thing,2017-08-25,pop
Futureland,Sonic Mayhem,Doomsday,2015-07-17,pop
Tail Lights,Makeup And Vanity Set,Atlanta Monster (Original Soundtrack),2018-07-13,pop
Kilometer (Aeroplane 'Italo 84' Remix),Sébastien Tellier,Sexuality Remix,2010-04-09,pop
Dust,M|O|O|N,Particles,2012-09-01,pop
Paris (Aeroplane Remix),Friendly Fires,Friendly Fires,2008,pop
Remember When,Mitch Murder,This is Now,2013-12-24,pop
SILHOUETTE,Lorn,REMNANT,2018-09-05,pop
Turbo Killer,Carpenter Brut,TRILOGY,2017-06-28,pop
VHS Sex,Com Truise,Galactic Melt,2011-06-14,pop
Leather Teeth,Carpenter Brut,Leather Teeth,2018-02-23,pop
Palmer's Arcade,Mitch Murder,Current Events,2011-10-28,pop
The Arcane Arts,Arcis,Adamo,2017-01-24,pop
Drive-by Stalking,Nightstop,Drive-by Stalking,2013-11-09,pop
Black Waves,Lost Years,Black Waves,2012-12-19,pop
Overpowered,Róisín Murphy,Overpowered,2007-10-01,pop
T69 collapse,Aphex Twin,T69 collapse,2018-08-07,pop
Interceptor,Mitch Murder,Interctor,2014-07-29,pop
Georgia - 2003 Digital Remaster,Orchestral Manoeuvres In The Dark,Architecture And Morality,1981-11-08,pop
Light in Darkness,YELLOW MAGIC ORCHESTRA,Technodelic,1981-11-21,pop
Ocean (feat. Dave Gahan),Goldfrapp,Ocean (feat. Dave Gahan),2018-05-21,pop
Fault Line,Loom:ngs,Fault Line,2018-05-21,pop
stakra,Ryuichi Sakamoto,async,2017-04-28,pop
I Believe,Simian Mobile Disco,Attack Decay Sustain Release,2007-01-01,pop
Hand Hold Hero,Laura Marling,LUMP,2018-06-01,pop
Psychic Driving,Soft Metals,Soft Metals,2011,pop
Tech Noir,Gunship,GUNSHIP,2015-07-24,pop
Become The One,Goldfrapp,Silver Eye,2017-03-31,pop
Severed,The Decemberists,Severed,2018-01-17,pop
First Day on the Job,Paul Haslinger,Halt and Catch Fire (Original Television Series Soundtrack),2016-08-19,pop
Magazine,Hajk,Hajk,2017-04-28,pop
tonite,LCD Soundsystem,tonite,2017-08-16,pop
Mastermind,Róisín Murphy,Take Her up to Monto,2016-07-08,pop
My Way,Calvin Harris,My Way,2016-09-16,pop
Perfect Strangers,Jonas Blue,Perfect Strangers,2016-06-03,pop
Fast Car,Jonas Blue,Fast Car,2015-12-04,pop
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,The Heist,2012-10-09,pop
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist [Deluxe Edition],2012-10-09,pop
Girls Like You (feat. Cardi B),Maroon 5,Girls Like You (feat. Cardi B),2018-05-30,pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,Don't You Worry Child,2012-09-14,pop
Just Can’t Get Enough,The Black Eyed Peas,The Beginning,2010-01-01,pop
One More Night,Maroon 5,Overexposed Track By Track,2012-01-01,pop
The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-08,pop
Treat You Better,Shawn Mendes,Illuminate,2017-04-20,pop
Payphone,Maroon 5,Overexposed Track By Track,2012-01-01,pop
Clocks,Coldplay,A Rush of Blood to the Head,2002-08-08,pop
Let's Get It Started,The Black Eyed Peas,Summer Party,2007-01-01,pop
In My Place,Coldplay,A Rush of Blood to the Head,2002-08-08,pop
Red Lights,Tiësto,A Town Called Paradise,2014-06-13,pop
Memories (feat. Kid Cudi),David Guetta,One More Love,2010-11-22,pop
Heroes (we could be),Alesso,Forever,2015-05-26,pop
Open Wide,Calvin Harris,Motion,2014-10-31,pop
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,pop
Waves - Robin Schulz Radio Edit,Mr. Probz,Waves (Robin Schulz Radio Edit),2014-02-07,pop
A Sky Full of Stars - Robin Schulz Edit,Coldplay,Prayer,2014-09-16,pop
Reload - Vocal Version / Radio Edit,Sebastian Ingrosso,Reload (Vocal Version / Radio Edit),2013-01-01,pop
Headlights (feat. Ilsey),Robin Schulz,Headlights (feat. Ilsey),2015-04-03,pop
Years,Alesso,Years,2012-01-01,pop
Pressure (Alesso Remix) [feat. Nadia Ali],Alex Kenji,Dance Mix USA in the Club Vol. 2 (Mixed by DJ Riddler) [Continuous DJ Mix],2012-03-26,pop
City Of Dreams - Radio Edit,Dirty South,City Of Dreams,2013-01-01,pop
Pompeii - Audien Remix,Bastille,Pompeii (Audien Remix),2014-01-01,pop
Forbidden Voices,Martin Garrix,Forbidden Voices,2015-02-23,pop
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,Calling (Lose My Mind),2012-01-01,pop
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,Afrojack,Forget The World (Deluxe),2014-01-01,pop
All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,John Legend,All of Me (Tiësto's Birthday Treatment Remix) [Radio Edit],2014-02-25,pop
Titanium (feat. Sia) - Alesso Remix,David Guetta,Titanium (feat. Sia),2011-12-09,pop
Heartbeat,Claptone,Charmer,2015-10-16,pop
No Eyes - Radio Edit,Claptone,No Eyes,2013-11-26,pop
Liquid Spirit - Claptone Remix,Gregory Porter,Liquid Spirit (Claptone Remix),2015-07-17,pop
Under the Moon,Claptone,Fantast,2018-06-08,pop
Puppet Theatre,Claptone,Charmer,2015-10-16,pop
La Esperanza,Claptone,Fantast,2018-06-08,pop
Save Me (feat. MKLA),Vintage Culture,Save Me (feat. MKLA),2018-12-21,pop
Goodnight Goodnight,Maroon 5,It Won't Be Soon Before Long (International Version),2007-01-01,pop
Rude,MAGIC!,Don't Kill the Magic,2014-06-25,pop
With Or Without You - Remastered,U2,The Joshua Tree (Super Deluxe),1987-03-03,pop
SOS (feat. Aloe Blacc),Avicii,TIM,2019-06-06,pop
Save The World,Swedish House Mafia,Save The World,2011-05-13,pop
Don't Wake Me Up,Chris Brown,Fortune (Expanded Edition),2012-07-03,pop
Catch & Release - Deepend Remix,Matt Simons,When The Lights Go Down,2015-09-30,pop
Show Me Love - EDX Remix / Radio Edit,Sam Feldt,Show Me Love (EDX Remix / Radio Edit),2015-06-14,pop
Tuesday (feat. Danelle Sandoval),Burak Yeter,Tuesday (feat. Danelle Sandoval),2016-09-02,pop
Thinking About You (feat. Ayah Marar),Calvin Harris,18 Months,2012-10-26,pop
I Feel So Bad,Kungs,Layers,2016-11-04,pop
I Wanna Know - Alesso & Deniz Koyu Remix,Alesso,I Wanna Know (Alesso & Deniz Koyu Remix),2016-05-13,pop
Por Ti,Belanova,Dulce Beat,2006,pop
Baila Mi Corazón,Belanova,12 Favoritas,2014-10-14,pop
Luna,Belanova,12 Favoritas,2014-10-14,pop
No Hay Palabras,Mœnia,Adicion,1999-01-01,pop
Sólo Para Mí,Belanova,Sueño Electro I,2010-01-01,pop
A Donde,Sentidos Opuestos,Viviendo Del Futuro,1997-01-01,pop
La Fuerza Del Destino,Fey,La Fuerza Del Destino,2004-01-01,pop
Mariposas,Belanova,12 Favoritas,2014-10-14,pop
Rosa Pastel,Belanova,Dulce Beat,2006,pop
No Dices Mas,Mœnia,Grandes Exitos,2005-01-01,pop
Niño,Belanova,Dulce Beat,2006,pop
Tus Ojos,Belanova,Cocktail,2003-01-01,pop
No Me Importa Nada,Byte,Byte,2005-01-01,pop
Ni Tú Ni Nadie,Mœnia,Stereo Hits,2005,pop
Quedate feat. LouisaFer (Radio Edit),Cesar Vilo,Quedate feat. LuisaFer,2008-10-21,pop
Secreto Perfecto,Jotdog,Universos Paralelos,2015-11-06,pop
El Eco de Tu Voz,Playa Limbo,Canciones De Hotel,2007-06-01,pop
Tania,Fase,Ciudad Lluvia,2002-01-01,pop
Sea Lo Que Sea Será - feat. Miguel Bosé [Original Mix],Above & Beyond,Papitwo (Deluxe),2012-09-04,pop
Me Pregunto,Belanova,Dulce Beat,2006,pop
Turista del Amor,Jotdog,Turista del Amor,2012-01-17,pop
El Beso,Jotdog,Jotdog,2009,pop
Las Pequeñas Cosas,Jotdog,Jotdog,2009,pop
Hasta Contar a Mil,Jotdog,Jotdog,2009,pop
No Me Voy A Morir,Belanova,Sueño Electro I,2010-01-01,pop
Perdóname,Jotdog,Turista del Amor,2012-01-17,pop
Sucédeme,Jotdog,Turista del Amor,2012-01-17,pop
Piensa en Mí,Jotdog,Jotdog,2009,pop
Aire,Ana Torroja,Me Cuesta Tanto Olvidarte,2006-07-20,pop
Llegaste a Mi,Mœnia,En Eléctrico,2009-06-06,pop
To My Love,Bomba Estéreo,Amanecer,2015-06-02,pop
Hombre Lobo En París,Valeria,Bossa Lounge en Español,2015-11-25,pop
A Fuego Lento,Valeria,Bossa Lounge en Español,2015-11-25,pop
To My Love - Tainy Remix,Bomba Estéreo,Amanecer (Remixed),2016-12-16,pop
Hielo,Zoé,Aztlán,2018-04-18,pop
Somos Dos,Bomba Estéreo,Amanecer,2015-06-02,pop
Palmar,Caloncho,Palmar,2015-10-30,pop
Te Voy a Dar,Pau Muro,Te Voy a Dar,2017-07-21,pop
Nunca Es Tarde.,The Guadaloops,Paradójico,2017-07-28,pop
Tu Luz,Azul Violeta,Globoscopio,1996-01-01,pop
De Repente,Soraya,Esenciales,2003-01-01,pop
Por Estar Contigo,JEANS,Por Que Disimular,1998-01-01,pop
Horizonte de las Estrellas,Miguel Bosé,Bandido,1984-02-22,pop
Quisiera Adivinar,Mœnia,Adicion,1999-01-01,pop
No Importa Que el Sol Se Muera,Mœnia,Duetos,2015-10-09,pop
Tú y Yo,Motel,Tú y Yo,2019-01-25,pop
Azúcar Amargo,Fey,Tierna La Noche,1996-06-04,pop
Historias (feat. Chela Rivas) - Original Mix,Tony Dark Eyes,Historias (feat. Chela Rivas),2014-06-17,pop
Historias (feat. Chela Rivas) - Extended Mix,Tony Dark Eyes,Historias (feat. Chela Rivas) [Extended Mix],2014-06-17,pop
Bailando - Jose Spinnin Cortes Remix,Chela,Bailando 2011 (The Remixes),2011-07-06,pop
En Algún Momento,Ulises Hadjis,Pavimento,2015-05-26,pop
TBC,Ragazzi,TBC,2001-01-01,pop
No me importa nada,Luz Casal,Luz V,1989-03-01,pop
No Puedo Estar Sin Ti,Mœnia,Moenia,1997,pop
Manto Estelar,Mœnia,Adicion,1999-01-01,pop
Mis Impulsos Sobre Ti - Remastered,Aleks Syntek,Más Fuerte De Lo Que Pensaba,2002-01-01,pop
No Dices Mas,Mœnia,Adicion,1999-01-01,pop
La Calle De Las Sirenas,Kabah,La Calle De Las Sirenas,1996-01-01,pop
Amor De Papel,Sentidos Opuestos,Viento A Favor,1998-01-01,pop
Pepe,JEANS,Jeans,1996-01-01,pop
Quedate feat. LouisaFer (Original Mix),Cesar Vilo,Quedate feat. LuisaFer,2008-10-21,pop
Como un lobo (Dueto 2007),Miguel Bosé,Papito (Deluxe),2007,pop
Aire soy (feat. Ximena Sariñana),Miguel Bosé,Papitwo (Deluxe),2012-09-04,pop
Juegos de Amor,Mœnia,Stereo Hits,2005,pop
Enséñame,Morbo,Morbo,2001-01-01,pop
Hoy,Morbo,Morbo,2001-01-01,pop
Se Me Acaba,Morbo,Morbo,2001-01-01,pop
Falaz,Morbo,Morbo,2001-01-01,pop
Lejos de Ti,María Barracuda,Maria Barracuda,2004-05-31,pop
Dame la Luna,María Barracuda,Dame la Luna,2019-04-05,pop
Labios Rotos - Live,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),2011-01-01,pop
No Es Lo Mismo,Morbo,Morbo,2001-01-01,pop
No Me Encontré,Morbo,Morbo,2001-01-01,pop
Por Ti,Morbo,Morbo,2001-01-01,pop
Tengo De Ti,Morbo,Morbo,2001-01-01,pop
No Te Puedo Olvidar,Camilo Séptimo,Óleos,2017-03-31,pop
I Ran (So Far Away) - Re-Recorded,A Flock Of Seagulls,This Is '80s New Wave 2.0,2006-09-19, Synth Pop...)"
Solidarity,Angelic Upstarts,Reason Why?,1983, Synth Pop...)"
Strange,Interfront,Megabeat - 1980-2005 - Interfront,2008-09-17, Synth Pop...)"
Metalhammer,And One,Anguish,1991, Synth Pop...)"
The Fashion Party,The Neon Judgement,Cold Waves And Minimal Electronics Vol. 1,2010-03-22, Synth Pop...)"
Do You Really Want Me Back?,Broken English,The Rough With The Smooth,1987, Synth Pop...)"
Running,Information Society,Information Society (CD+G),1988-06-15, Synth Pop...)"
Nowhere Girl (Extended),B-Movie,Climate Of Fear - Deluxe Edition,2016-03-18, Synth Pop...)"
"""This Is Seagull….""",The Snake Corps,Smother Earth,1990-01-01, Synth Pop...)"
Beds Are Burning - Remastered,Midnight Oil,20000 Watt RSL - The Midnight Oil Collection,1997-10-13, Synth Pop...)"
A Question of Time - Remix,Depeche Mode,DMBX3 (Part 2),2004, Synth Pop...)"
Headhunter V1.0,Front 242,Front By Front,1988-10-24, Synth Pop...)"
All Night Long - (Remastered),Peter Murphy,Love Hysteria (Expanded Edition),2013-11-25, Synth Pop...)"
Send Me An Angel,Real Life,Heartland,1983-01-01, Synth Pop...)"
What Will I Do,Timmy T,Time After Time,1990-03-15, Synth Pop...)"
Johnny And Mary,Robert Palmer,Clues,1980-01-01, Synth Pop...)"
Flesh,A Split Second,Clásicos de la Fiesta,2003-01-01, Synth Pop...)"
Big in Japan - Best of-Version,Alphaville,First Harvest 1984-1992,1991-12-17, Synth Pop...)"
Tarzan Boy,Baltimora,Tarzan Boy: The World Of Baltimora,2010-01-01, Synth Pop...)"
Sunday Morning,The Bolshoi,Friends,1986, Synth Pop...)"
Away,The Bolshoi,Friends,1986, Synth Pop...)"
Eisbaer,Groovezone,Abel Ramos y Dj Nano Presentan: Oro Viejo vs. 10 Años de Música,2012-11-26, Synth Pop...)"
The Wild Boys,Duran Duran,Greatest,1998-11-09, Synth Pop...)"
Somebody,Escape With Romeo,Escape With Romeo,1989-06-02, Synth Pop...)"
Rock Me Amadeus - The Gold Mix,Falco,Falco 3 25th Anniversary Edition,2010-10-22, Synth Pop...)"
Are 'Friends' Electric?,Gary Numan / Tubeway Army,Replicas Redux,1979, Synth Pop...)"
Hey Little Girl (Single Mix) - Remastered,ICEHOUSE,The Best of Icehouse (Remastered),2013-09-20, Synth Pop...)"
Great Southern Land - Remastered,ICEHOUSE,White Heat: 30 Hits - The Best Of (Remastered),2011, Synth Pop...)"
Relax,Frankie Goes To Hollywood,"Techno Pop Classics, Vol. 2", Electropop
Golden Dreams,Invisible Limits,A Conscious State,1989, Synth Pop...)"
Fantasy Girl,Johnny O.,Johnny O (Deluxe Edition),2011-08-15, Synth Pop...)"
Major Tom - Coming Home,Peter Schilling,The Different Story (World Of Lust And Crime),1989-04-04, Synth Pop...)"
Terra Titanic,Peter Schilling,Von Anfang An...Bis Jetzt !,1983-06-27, Synth Pop...)"
Something Good,Paul Haig,Chain,1989, Synth Pop...)"
Es Imposible No Puede Ser,Megabeat,Sonido De Valencia - 1990 - 1999,2009-11-09, Synth Pop...)"
Blue Monday - 2011 Total Version,New Order,TOTAL,2011-06-03, Synth Pop...)"
Bizarre Love Triangle,New Order,Brotherhood [Collector's Edition],1986-09-29, Synth Pop...)"
I Promised Myself,Nick Kamen,Move Until We Fly,1990, Synth Pop...)"
Enola Gay,Orchestral Manoeuvres In The Dark,The OMD Singles,1998-01-01, Synth Pop...)"
Song To The Siren (Remastered),This Mortal Coil,It'll End In Tears (Remastered),1984, Synth Pop...)"
The One I Love - Remastered,R.E.M.,Document - 25th Anniversary Edition,1987-09-01, Synth Pop...)"
Painted Moon (Blues Mix),The Silencers,The Best Of - Blood & Rain: The Singles '86 - '96,1996-10-03, Synth Pop...)"
Don't You (Forget About Me) - Remastered,Simple Minds,Celebrate (Greatest Hits),2013-03-25, Synth Pop...)"
Love Song,Simple Minds,Sons And Fascination/Sister Feelings Call,1981-09-12, Synth Pop...)"
Don't You Want Me,The Human League,Dare!,1981, Synth Pop...)"
Diamonds - Radio Edit,Hard Rain London,Diamonds EP,2010-11-22, Synth Pop...)"
A Mirage,The Essence,Nocturnal - The Best Of Midnight Music,1990-01-01, Synth Pop...)"
Always The Sun - Sunny Side Up Mix,The Stranglers,10,1990-03-14, Synth Pop...)"
Personal Jesus,Depeche Mode,Melodía FM,2014-03-24, Synth Pop...)"
Big Area,Then Jerico,The Big Area,1990-06-12, Synth Pop...)"
Vagabonds,New Model Army,Thunder And Consolation,1989-03-15, Synth Pop...)"
The Promise,When In Rome,When In Rome,1988-01-01, Synth Pop...)"
The Sparrows And The Nightingales,Wolfsheim,The Sparrows And The Nightingales,1991-07-15, Synth Pop...)"
It Hurts (There Must Be a Taste of Murder in It),The Lotus Eaters,No Sense of Sin (Expanded Edition),1984, Synth Pop...)"
Poem Without Words 2 - Journey By Night,Anne Clark,Hopeless Cases,1987-01-01, Synth Pop...)"
Let Your Body Learn,Nitzer Ebb,That Total Age,1987-01-01, Synth Pop...)"
The Motive - Greg Walsh Remix,Then Jerico,The Best Of Then Jerico,1990-06-12, Synth Pop...)"
There Is a Light That Never Goes Out,The Smiths,(500) Days of Summer (Music from the Motion Picture),2009-07-14, Synth Pop...)"
So Alive,Love and Rockets,Love And Rockets,1989-09-04, Synth Pop...)"
More Than This,Roxy Music,Roxy Music Collection,2004-01-01, Synth Pop...)"
Tainted Love,Soft Cell,The Very Best Of Soft Cell [International Version (Excluding UK & Eire)],2002-01-01, Synth Pop...)"
Down Under,Men At Work,Down Under (Digital 45),2009-11-06, Synth Pop...)"
The Stand,Joolz,Hex,1990-01-01, Synth Pop...)"
Bedsitter,Soft Cell,Non Stop Erotic Cabaret (Deluxe Edition),1981-12, Synth Pop...)"
Just Like Heaven,The Cure,Kiss Me Kiss Me Kiss Me,1987-05-25, Synth Pop...)"
"Uncertain Smile - Original 7"" Version 1982",The The,45 RPM - The Singles Of The The,2002-05-07, Synth Pop...)"
Never Let Me Down Again,Depeche Mode,Music for the Masses,1987-09-28, Synth Pop...)"
Change,Tears For Fears,The Hurting (Deluxe Edition),1983-03-07, Synth Pop...)"
Electricity,Orchestral Manoeuvres In The Dark,The OMD Singles,1998-01-01, Synth Pop...)"
Unsafe Building - Electric,The Alarm,Eponymous 1981-1983,2018-03-16, Synth Pop...)"
It's My Life,Talk Talk,The Very Best Of,1997-01-27, Synth Pop...)"
Love Will Tear Us Apart - 2010 Remaster,Joy Division,Substance,2010, Synth Pop...)"
Just Can't Get Enough - 2006 Digital Remaster,Depeche Mode,The Best Of Depeche Mode - Volume One,2006, Synth Pop...)"
Serious,UV Pop,Anyone For Me / Bendy Baby Man,2011, Synth Pop...)"
